Name, MatchCount, Wins, Aces, TotalSpeed, DoubleFault, TotalPoints,
Ivan Dodig, 10, 5, 129, 49.15, 4, 115.4
Ivan Ljubicic, 20, 11, 275, 98.075, 2, 121.1
Ivan Miranda, 1, 0, 2, 153.5, 1, 75.0
Ivan Navarro, 1, 0, 6, 172.0, 2, 79.0
Ivan Sergeyev, 2, 1, 10, 80.5, 7, 110.5
Ivo Karlovic, 19, 8, 456, 58.44736842105263, 3, 115.0
Ivo Minar, 3, 0, 22, 56.666666666666664, 2, 103.0
Jack Sock, 2, 1, 21, 89.75, 11, 119.0
Jacob Adaktusson, 1, 0, 5, 0.0, 3, 88.0
James Blake, 24, 17, 194, 137.70833333333334, 3, 111.125
James Duckworth, 5, 2, 87, 159.3, 4, 134.2
James Ward, 1, 0, 7, 0.0, 3, 78.0
Jamie Baker, 2, 0, 14, 0.0, 2, 109.0
Jan Hajek, 6, 1, 11, 76.66666666666667, 3, 64.16666666666667
Jan Hernych, 8, 4, 33, 40.375, 3, 134.375
Jan Vacek, 2, 1, 11, 75.5, 2, 105.0
Jan-Lennard Struff, 1, 0, 2, 0.0, 8, 66.0
Jan-Michael Gambill, 3, 1, 36, 54.833333333333336, 1, 69.66666666666667
Janko Tipsarevic, 21, 12, 270, 102.21428571428571, 4, 129.28571428571428
Jarkko Nieminen, 24, 13, 111, 95.08333333333333, 3, 117.08333333333333
Jason Murray Kubler, 1, 0, 3, 82.5, 2, 46.0
Jean-Christophe Faurel, 2, 1, 16, 77.25, 5, 110.0
Jean-Rene Lisnard, 5, 2, 15, 95.4, 9, 118.0
Jeff Morrison, 2, 1, 25, 87.5, 2, 85.0
Jeff Salzenstein, 1, 0, 16, 0.0, 8, 145.0
Jeremy Chardy, 12, 6, 152, 133.79166666666666, 6, 108.08333333333333
Jerome Golmard, 2, 1, 11, 78.25, 4, 66.0
Jerome Haehnel, 1, 0, 4, 161.0, 4, 62.0
Jerzy Janowicz, 6, 4, 74, 172.41666666666666, 7, 121.83333333333333
Jesse Huta Galung, 1, 0, 8, 0.0, 12, 122.0
Jesse Levine, 5, 2, 29, 64.6, 5, 121.6
Jimmy Wang, 4, 1, 14, 118.625, 3, 85.25
Jiri Novak, 3, 2, 16, 155.33333333333334, 3, 131.33333333333334
Jiri Vanek, 3, 0, 26, 0.0, 7, 104.33333333333333
Jiri Vesely, 1, 0, 16, 0.0, 10, 154.0
Jo-Wilfried Tsonga, 35, 27, 463, 162.6, 3, 112.85714285714286
Joachim Johansson, 8, 5, 173, 111.5625, 6, 110.125
Joao Sousa, 3, 1, 15, 55.666666666666664, 2, 97.66666666666667
Joao Souza, 1, 0, 8, 166.5, 2, 85.0
John Isner, 13, 7, 319, 141.26923076923077, 4, 116.53846153846153
John Millman, 1, 0, 17, 163.0, 10, 165.0
John van Lottum, 1, 0, 5, 147.5, 6, 126.0
John-Patrick Smith, 1, 0, 2, 0.0, 1, 73.0
Jonas Bjorkman, 5, 1, 11, 32.9, 5, 93.2
Jordan Thompson, 1, 0, 13, 169.0, 8, 140.0
Jose Acasuso, 6, 0, 67, 84.41666666666667, 5, 120.83333333333333
Joseph Sirianni, 1, 0, 11, 161.5, 5, 151.0
Josselin Ouanna, 1, 0, 13, 0.0, 8, 103.0
